method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
central_naive,2,17,7.62939453125e-06,1.9073486328125e-06,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,17,7.62939453125e-06,1.9073486328125e-06,1.0000000000006064,6.064038160502605e-13,1.9998679274003848,2.0,6.063298011819521e-13,1.0,0.0,ok
forward_naive,1,18,3.814697265625e-06,9.5367431640625e-07,1.0000004768371582,4.76837158203125e-07,1.0,1.0,4.76837158203125e-07,1.0,0.0,ok
forward_stable,1,18,3.814697265625e-06,9.5367431640625e-07,1.0000004768373099,4.768373098595902e-07,1.0000004581723123,1.0000013768669482,4.7683670256933296e-07,1.000000000000607,6.070699498650356e-13,ok
central_naive,2,18,3.814697265625e-06,9.5367431640625e-07,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,18,3.814697265625e-06,9.5367431640625e-07,1.0000000000001517,1.5165646516379638e-13,1.999471830475196,2.0,1.5158245029548803e-13,1.0,0.0,ok
forward_naive,1,19,1.9073486328125e-06,4.76837158203125e-07,1.000000238418579,2.384185791015625e-07,1.0,1.0,2.384185791015625e-07,1.0,0.0,ok
forward_stable,1,19,1.9073486328125e-06,4.76837158203125e-07,1.000000238418617,2.3841861707118994e-07,1.0000002290862107,1.0000006872583047,2.384184656369858e-07,1.0000000000001512,1.5121237595394632e-13,ok
central_naive,2,19,1.9073486328125e-06,4.76837158203125e-07,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,19,1.9073486328125e-06,4.76837158203125e-07,1.000000000000038,3.7969627442180354e-14,1.9978892534041925,2.0,3.789561257387201e-14,1.0,0.0,ok
forward_naive,1,20,9.5367431640625e-07,2.384185791015625e-07,1.0000001192092896,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,1.0,0.0,ok
forward_stable,1,20,9.5367431640625e-07,2.384185791015625e-07,1.000000119209299,1.1920929909869926e-07,1.0000001142072152,1.0000003439651788,1.1920926112909892e-07,1.000000000000038,3.7969627442180354e-14,ok
central_naive,2,20,9.5367431640625e-07,2.384185791015625e-07,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,20,9.5367431640625e-07,2.384185791015625e-07,1.0000000000000095,9.547918011776346e-15,1.9915877601838,2.0,9.473903143468002e-15,1.0,0.0,ok
forward_naive,1,21,4.76837158203125e-07,1.1920928955078125e-07,1.0000000596046448,5.960464477539063e-08,1.0,1.0,5.960464477539063e-08,1.0,0.0,ok
forward_stable,1,21,4.76837158203125e-07,1.1920928955078125e-07,1.0000000596046472,5.960464721788128e-08,1.000000056431804,1.0000001719826201,5.9604637669966656e-08,1.0000000000000095,9.547918011776346e-15,ok
central_naive,2,21,4.76837158203125e-07,1.1920928955078125e-07,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,21,4.76837158203125e-07,1.1920928955078125e-07,1.0000000000000024,2.4424906541753444e-15,1.9668331360648008,2.0,2.3684757858670005e-15,1.0,0.0,ok
forward_naive,1,22,2.384185791015625e-07,5.960464477539063e-08,1.0000000298023224,2.9802322387695312e-08,1.0,1.0,2.9802322387695312e-08,1.0,0.0,ok
forward_stable,1,22,2.384185791015625e-07,5.960464477539063e-08,1.000000029802323,2.980232305382913e-08,1.0000000268722884,1.0000000859913178,2.9802320611338897e-08,1.0000000000000024,2.4424906541753444e-15,ok
central_naive,2,22,2.384185791015625e-07,5.960464477539063e-08,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,22,2.384185791015625e-07,5.960464477539063e-08,1.0000000000000007,6.661338147750939e-16,1.874469117916141,2.0,5.921189464667501e-16,1.0,0.0,ok
